Yasmin Neal,Democratic,79,House,yasmin.neal@house.ga.gov
Will Wade,Republican,9,House,will.wade@house.ga.gov
Viola Davis,Democratic,87,House,viola.davis@house.ga.gov
Victor Anderson,Republican,10,House,victor.anderson@house.ga.gov
Vance Smith,Republican,138,House,vance.smith@house.ga.gov
Tyler Paul Smith,Republican,18,House,tyler.smith@house.ga.gov
Trey Rhodes,Republican,124,House,trey.rhodes@house.ga.gov
Trey Kelley,Republican,16,House,trey.kelley@house.ga.gov
Tremaine Teddy Reese,Democratic,140,House,tremaine.reese@house.ga.gov
Todd Jones,Republican,25,House,todd.jones@house.ga.gov
Tish Naghise,Democratic,68,House,tish.naghise@house.ga.gov
Tim Fleming,Republican,114,House,tim.fleming@house.ga.gov
Terry Cummings,Democratic,39,House,terry.cummings@house.ga.gov
Teri Anulewicz,Democratic,42,House,teri.anulewicz@house.ga.gov
Tanya F. Miller,Democratic,62,House,tanya.miller@house.ga.gov
Steven Sainz,Republican,180,House,steven.sainz@house.ga.gov
Steven Meeks,Republican,178,House,steven.meeks@house.ga.gov
Steve Tarvin,Republican,2,House,steve.tarvin@house.ga.gov
Stan Gunter,Republican,8,House,stan.gunter@house.ga.gov
Stacey Evans,Democratic,57,House,stacey.evans@house.ga.gov
Spencer Frye,Democratic,122,House,spencer.frye@house.ga.gov
Soo Hong,Republican,103,House,soo.hong@house.ga.gov
Solomon Adesanya,Democratic,43,House,solomon.adesanya@house.ga.gov
Shelly Hutchinson,Democratic,106,House,shelly.hutchinson@house.ga.gov
Sheila Jones,Democratic,60,House,sheila.jones@house.ga.gov
Shea Roberts,Democratic,52,House,shea.roberts@house.ga.gov
Shaw Blackmon,Republican,146,House,shaw.blackmon@house.ga.gov
Sharon Henderson,Democratic,113,House,sharon.henderson@house.ga.gov
Sharon Cooper,Republican,45,House,sharon.cooper@house.ga.gov
Segun Adeyina,Democratic,110,House,segun.adeyina@house.ga.gov
Scott Holcomb,Democratic,81,House,scott.holcomb@house.ga.gov
Scott Hilton,Republican,48,House,scott.hilton@house.ga.gov
Sandra Scott,Democratic,76,House,sandra.scott@house.ga.gov
Sam Watson,Republican,172,House,sam.watson@house.ga.gov
Sam Park,Democratic,107,House,sam.park@house.ga.gov
Saira Draper,Democratic,90,House,saira.draper@house.ga.gov
Ruwa Romman,Democratic,97,House,ruwa.romman@house.ga.gov
Ron Stephens,Republican,164,House,ron.stephens@house.ga.gov
Roger Bruce,Democratic,61,House,roger.bruce@house.ga.gov
Robert Dickey,Republican,145,House,robert.dickey@house.ga.gov
Rob Leverett,Republican,123,House,rob.leverett@house.ga.gov
Rick Townsend,Republican,179,House,rick.townsend@house.ga.gov
Rick Jasperse,Republican,11,House,rick.jasperse@house.ga.gov
Richard Smith,Republican,139,House,richard.smith@house.ga.gov
Rhonda Taylor,Democratic,92,House,rhonda.taylor@house.ga.gov
Rhonda Burnough,Democratic,77,House,rhonda.burnough@house.ga.gov
"Reynaldo ""Rey"" Martinez",Republican,111,House,reynaldo.martinez@house.ga.gov
Regina Lewis-Ward,Democratic,115,House,regina.lewis-ward@house.ga.gov
Phil Olaleye,Democratic,59,House,phil.olaleye@house.ga.gov
Penny Houston,Republican,170,House,penny.houston@house.ga.gov
"Pedro ""Pete"" Marin",Democratic,96,House,pedro.marin@house.ga.gov
Patty Bentley,Democratic,150,House,patty.bentley@house.ga.gov
Park Cannon,Democratic,58,House,park.cannon@house.ga.gov
Omari Crawford,Democratic,84,House,omari.crawford@house.ga.gov
"Noel Williams, Jr.",Republican,148,House,noel.williams@house.ga.gov
Mitchell Scoggins,Republican,14,House,mitchell.scoggins@house.ga.gov
Mitchell Horner,Republican,3,House,mitchell.horner@house.ga.gov
Miriam Paris,Democratic,142,House,miriam.paris@house.ga.gov
Mike Glanton,Democratic,75,House,mike.glanton@house.ga.gov
Mike Cheokas,Republican,151,House,mike.cheokas@house.ga.gov
Mike Cameron,Republican,1,House,mike.cameron@house.ga.gov
Michelle Au,Democratic,50,House,michelle.au@house.ga.gov
Michael Smith,Democratic,41,House,michael.smith@house.ga.gov
Mesha Mainor,Democratic,56,House,mesha.mainor@house.ga.gov
Matthew Gambill,Republican,15,House,matthew.gambill@house.ga.gov
Matt Reeves,Republican,99,House,matt.reeves@house.ga.gov
Matt Hatchett,Republican,155,House,matt.hatchett@house.ga.gov
Matt Dubnik,Republican,29,House,matt.dubnik@house.ga.gov
Matt Barton,Republican,5,House,matt.barton@house.ga.gov
Mary Margaret Oliver,Democratic,82,House,mary.oliver@house.ga.gov
Mary Frances Williams,Democratic,37,House,maryfrances.williams@house.ga.gov
Marvin Lim,Democratic,98,House,marvin.lim@house.ga.gov
Martin Momtahan,Republican,17,House,martin.momtahan@house.ga.gov
Mark Newton,Republican,127,House,mark.newton@house.ga.gov
Marcus Wiedower,Republican,121,House,marcus.wiedower@house.ga.gov
Marcus Wiedower,Republican,119,House,marcus.wiedower@house.ga.gov
Mandisha A. Thomas,Democratic,65,House,mandisha.thomas@house.ga.gov
Mandi Ballinger,Republican,23,House,mandi.ballinger@house.ga.gov
Mack Jackson,Democratic,128,House,mack.jackson@house.ga.gov
Lynn Smith,Republican,70,House,lynn.smith@house.ga.gov
Lynn Gladney,Democratic,130,House,lynn.gladney@house.ga.gov
Lydia Glaize,Democratic,67,House,lydia.glaize@house.ga.gov
Long Tran,Democratic,80,House,long.tran@house.ga.gov
Lisa Campbell,Democratic,35,House,lisa.campbell@house.ga.gov
Lehman Franklin,Republican,160,House,lehman.franklin@house.ga.gov
Leesa Hagan,Republican,156,House,leesa.hagan@house.ga.gov
Lee Hawkins,Republican,27,House,lee.hawkins@house.ga.gov
Lauren McDonald,Republican,26,House,lauren.mcdonald@house.ga.gov
Lauren Daniel,Republican,117,House,lauren.daniel@house.ga.gov
Kimberly New,Republican,64,House,kimberly.new@house.ga.gov
Kimberly Alexander,Democratic,66,House,kimberly.alexander@house.ga.gov
Kim Schofield,Democratic,63,House,kim.schofield@house.ga.gov
Kenneth Vance,Republican,133,House,kenneth.vance@house.ga.gov
Katie Dempsey,Republican,13,House,katie.dempsey@house.ga.gov
Kasey Carpenter,Republican,4,House,kasey.carpenter@house.ga.gov
Karlton Howard,Democratic,129,House,karlton.howard@house.ga.gov
Karla Drenner,Democratic,85,House,karla.drenner@house.ga.gov
Karen Mathiak,Republican,74,House,karen.mathiak@house.ga.gov
Karen Lupton,Democratic,83,House,karen.lupton@house.ga.gov
Karen Bennett,Democratic,94,House,karen.bennett@house.ga.gov
Josh Bonner,Republican,73,House,josh.bonner@house.ga.gov
Joseph Gullett,Republican,19,House,joseph.gullett@house.ga.gov
Jordan Ridley,Republican,22,House,jordan.ridley@house.ga.gov
Jon Burns,Republican,159,House,jon.burns@house.ga.gov
John LaHood,Republican,175,House,john.lahood@house.ga.gov
John Corbett,Republican,174,House,john.corbett@house.ga.gov
John Carson,Republican,46,House,john.carson@house.ga.gov
Joe Campbell,Republican,171,House,joe.campbell@house.ga.gov
Jodi Lott,Republican,131,House,jodi.lott@house.ga.gov
Jesse Petrea,Republican,166,House,jesse.petrea@house.ga.gov
Jason Ridley,Republican,6,House,jason.ridley@house.ga.gov
Jasmine Clark,Democratic,108,House,jasmine.clark@house.ga.gov
Jan Jones,Republican,47,House,jan.jones@house.ga.gov
James Burchett,Republican,176,House,james.burchett@house.ga.gov
James Beverly,Democratic,143,House,james.beverly@house.ga.gov
J Collins,Republican,71,House,j.collins@house.ga.gov
Inga Willis,Democratic,55,House,inga.willis@house.ga.gov
Imani Barnes,Democratic,86,House,imani.barnes@house.ga.gov
Houston Gaines,Republican,120,House,houston.gaines@house.ga.gov
Gregg Kennard,Democratic,101,House,gregg.kennard@house.ga.gov
Gloria Frazier,Democratic,126,House,gloria.frazier@house.ga.gov
Ginny Ehrhart,Republican,36,House,ginny.ehrhart@house.ga.gov
Gerald Greene,Republican,154,House,gerald.greene@house.ga.gov
Gabe Okoye,Democratic,102,House,gabe.okoye@house.ga.gov
Farooq Mughal,Democratic,105,House,farooq.mughal@house.ga.gov
Esther Panitch,Democratic,51,House,esther.panitch@house.ga.gov
Emory Dunahoo,Republican,31,House,emory.dunahoo@house.ga.gov
El-Mahdi Holly,Democratic,116,House,el-mahdi.holly@house.ga.gov
Edna Jackson,Democratic,165,House,edna.jackson@house.ga.gov
Eddie Lumsden,Republican,12,House,eddie.lumsden@house.ga.gov
Doug Stoner,Democratic,40,House,doug.stoner@house.ga.gov
Doreen Carter,Democratic,93,House,doreen.carter@house.ga.gov
Don Parsons,Republican,44,House,don.parsons@house.ga.gov
Dexter Sharper,Democratic,177,House,dexter.sharper@house.ga.gov
Dewey McClain,Democratic,109,House,dewey.mcclain@house.ga.gov
Devan Seabaugh,Republican,34,House,devan.seabaugh@house.ga.gov
Derrick McCollum,Republican,30,House,derrick.mccollum@house.ga.gov
Demetrius Douglas,Democratic,78,House,demetrius.douglas@house.ga.gov
Debra Bazemore,Democratic,69,House,debra.bazemore@house.ga.gov
Deborah Silcox,Republican,53,House,deborah.silcox@house.ga.gov
Debbie Buckner,Democratic,137,House,debbie.buckner@house.ga.gov
David Wilkerson,Democratic,38,House,david.wilkerson@house.ga.gov
David Sampson,Democratic,153,House,david.sampson@house.ga.gov
David Ralston,Republican,7,House,david.ralston@house.ga.gov
David Knight,Republican,134,House,david.knight@house.ga.gov
David Jenkins,Republican,136,House,david.jenkins@house.ga.gov
David Huddleston,Republican,72,House,david.huddleston@house.ga.gov
David Clark,Republican,100,House,david.clark@house.ga.gov
Darlene Taylor,Republican,173,House,darlene.taylor@house.ga.gov
Dar'shun Kendrick,Democratic,95,House,darshun.kendrick@house.ga.gov
Danny Mathis,Republican,149,House,danny.mathis@house.ga.gov
Dale Washburn,Republican,144,House,dale.washburn@house.ga.gov
Clint Crowe,Republican,118,House,clint.crowe@house.ga.gov
Clay Pirkle,Republican,169,House,clay.pirkle@house.ga.gov
Chuck Martin,Republican,49,House,chuck.martin@house.ga.gov
Chuck Efstration,Republican,104,House,chuck.efstration@house.ga.gov
Chris Erwin,Republican,32,House,chris.erwin@house.ga.gov
Charlice Byrd,Republican,20,House,charlice.byrd@house.ga.gov
Carter Barrett,Republican,24,House,carter.barrett@house.ga.gov
Carolyn Hugley,Democratic,141,House,carolyn.hugley@house.ga.gov
Carl Gilliard,Democratic,162,House,carl.gilliard@house.ga.gov
Butch Parrish,Republican,158,House,butch.parrish@house.ga.gov
Buddy DeLoach,Republican,167,House,buddy.deloach@house.ga.gov
Bruce Williamson,Republican,112,House,bruce.williamson@house.ga.gov
Brian Prince,Democratic,132,House,brian.prince@house.ga.gov
Brent Cox,Republican,28,House,brent.cox@house.ga.gov
Brad Thomas,Republican,21,House,brad.thomas@house.ga.gov
Billy Mitchell,Democratic,88,House,billy.mitchell@house.ga.gov
Bill Yearta,Republican,152,House,bill.yearta@house.ga.gov
Bill Werkheiser,Republican,157,House,bill.werkheiser@house.ga.gov
Bill Hitchens,Republican,161,House,bill.hitchens@house.ga.gov
Betsy Holland,Democratic,54,House,betsy.holland@house.ga.gov
Bethany Ballard,Republican,147,House,bethany.ballard@house.ga.gov
Beth Camp,Republican,135,House,beth.camp@house.ga.gov
Becky Evans,Democratic,89,House,becky.evans@house.ga.gov
Barry Fleming,Republican,125,House,barry.fleming@house.ga.gov
Anne Allen Westbrook,Democratic,163,House,anneallen.westbrook@house.ga.gov
Angela Moore,Democratic,91,House,angela.moore@house.ga.gov
